plot,block,hum,temp,date,30 cm,15 cm,,plot,block,hum,temp,30 cm,15 cm,,,,temp,,,,,,,,,,,,,,,,,,,,,
a1,A,H,T+,040405,31.5,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1,B,H,T,040405,29.5,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,C,S,T,040405,31.7,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1,D,S,T++,040405,30.5,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1,E,H,T+,040405,32.5,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2,A,S,T++,040405,28.9,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2,B,S,T+,040405,30,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,C,H,T++,040405,30,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2,D,S,T+,040405,31.7,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2,E,H,T,040405,32.5,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3,A,S,T,040405,30.5,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3,B,S,T++,040405,30.1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3,C,H,T,040405,30,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3,D,H,T++,040405,30.6,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3,E,H,T++,040405,32.1,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4,A,H,T++,040405,28.8,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4,B,H,T+,040405,30.1,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4,C,S,T++,040405,30.2,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4,D,S,T,040405,29.6,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4,E,S,T++,040405,25.2,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5,A,H,T,040405,31.2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5,B,S,T,040405,28.2,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5,C,H,T+,040405,31.2,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d5,D,H,T+,040405,31.8,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5,E,S,T+,040405,30,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6,A,S,T+,040405,31.6,32.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6,B,H,T++,040405,30.4,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6,C,S,T+,040405,32.4,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6,D,H,T,040405,34,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6,E,S,T,040405,30.7,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,A,H,T+,040415,27.4,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1,B,H,T,040415,31.9,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,C,S,T,040415,31.2,30.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1,D,S,T++,040415,28.7,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1,E,H,T+,040415,30.4,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2,A,S,T++,040415,27.3,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2,B,S,T+,040415,28.6,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,C,H,T++,040415,27.6,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2,D,S,T+,040415,30.2,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2,E,H,T,040415,30.8,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3,A,S,T,040415,31.5,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3,B,S,T++,040415,25.5,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3,C,H,T,040415,29.1,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3,D,H,T++,040415,28.6,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3,E,H,T++,040415,29.8,31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4,A,H,T++,040415,27.5,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4,B,H,T+,040415,29.2,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4,C,S,T++,040415,27.9,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4,D,S,T,040415,30.8,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4,E,S,T++,040415,27.4,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5,A,H,T,040415,31.6,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5,B,S,T,040415,33,33.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5,C,H,T+,040415,30.1,32.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d5,D,H,T+,040415,29.9,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5,E,S,T+,040415,27.1,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6,A,S,T+,040415,30,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6,B,H,T++,040415,26.7,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6,C,S,T+,040415,30.6,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6,D,H,T,040415,32.3,34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6,E,S,T,040415,29.9,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,A,H,T+,040426,24.3,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1,B,H,T,040426,28.7,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,C,S,T,040426,28.3,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1,D,S,T++,040426,25.8,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1,E,H,T+,040426,28,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2,A,S,T++,040426,24,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2,B,S,T+,040426,26.1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
