,,birch,,,buds,,,,,,,,,,,,,,,,,,,,
,year,phenotype,d/mo/yr,julian date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,total
508,1998,puu19,29/4/98,119.00,1,0,0,0,0,1,0,0,1,0,,,,,,,,,,,3
509,1998,puu19,30/4/98,120.00,1,1,0,0,0,1,1,0,1,0,,,,,,,,,,,5
510,1998,puu19,1/5/98,121.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
524,1998,puu20,1/5/98,121.00,1,1,1,1,0,0,0,0,0,1,,,,,,,,,,,5
525,1998,puu20,2/5/98,122.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
539,1998,puu21,2/5/98,122.00,0,0,1,1,1,1,0,0,0,0,,,,,,,,,,,4
540,1998,puu21,3/5/98,123.00,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,9
541,1998,puu21,4/5/98,124.00,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,9
542,1998,puu21,5/5/98,125.00,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,9
543,1998,puu21,6/5/98,126.00,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,9
544,1998,puu21,7/5/98,127.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
552,1998,puu22,1/5/98,121.00,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1
553,1998,puu22,2/5/98,122.00,1,0,0,1,0,0,,0,0,0,,,,,,,,,,,2
554,1998,puu22,3/5/98,123.00,1,1,1,1,1,1,,0,1,1,,,,,,,,,,,8
555,1998,puu22,4/5/98,124.00,1,1,1,1,1,1,,0,1,1,,,,,,,,,,,8
556,1998,puu22,5/5/98,125.00,1,1,1,1,1,1,,0,1,1,,,,,,,,,,,8
557,1998,puu22,6/5/98,126.00,1,1,1,1,1,1,,1,1,1,,,,,,,,,,,9
567,1998,puu23,2/5/98,122.00,1,1,1,0,0,0,0,1,0,0,,,,,,,,,,,4
568,1998,puu23,3/5/98,123.00,1,1,1,0,1,1,1,1,1,0,,,,,,,,,,,8
569,1998,puu23,4/5/98,124.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
581,1998,puu24,2/5/98,122.00,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,2
582,1998,puu24,3/5/98,123.00,1,1,0,0,0,0,0,0,1,0,,,,,,,,,,,3
583,1998,puu24,4/5/98,124.00,1,1,0,0,0,0,0,0,1,0,,,,,,,,,,,3
584,1998,puu24,5/5/98,125.00,1,1,1,1,0,1,0,0,1,0,,,,,,,,,,,6
585,1998,puu24,6/5/98,126.00,1,1,1,1,0,1,0,0,1,0,,,,,,,,,,,6
586,1998,puu24,7/5/98,127.00,1,1,1,1,0,1,0,0,1,0,,,,,,,,,,,6
587,1998,puu24,8/5/98,128.00,1,1,1,1,0,1,0,0,1,0,,,,,,,,,,,6
