Name,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,,,,,,,,,,,,,,,
Ononis repens,14-Jul,29-Jun,27-Jun,18-Jun,6-Jul,5-Jun,2-Jul,14-Jul,12-Jul,11-Jul,28-Jun, ,8-Jul,7-Jul,30-Jun,3-Jul,26-Jun,9-Jul, ,18-Jul,3-Jul,17-Jul,3-Jul,17-Jul,15-Jul,15-Jul,12-Jul, , ,17-Jul,22-Jul,10-Jul,5-Jul,15-Jul,9-Jul,29-Jun,4-Jun, ,11-Jun, ,27-Jun, ,8-Jul,12-Jul, ,29-Jun,27-Jun,,,,,,,,,,,,,,,
Ophrys apifera,26-Jun,1-Jul,30-Jun,13-Jun, ,28-Jun,28-Jun,4-Jun, , ,28-Jun, ,14-Jun,2-Jul,23-Jun, ,17-Jun,20-Jun,1-Jul,29-Jun,29-Jun,20-Jun,17-Jun, ,27-Jun,28-Jun,30-Jun,21-Jun,21-Jun,25-Jun,23-Jun,5-Jul, , ,22-Jun,14-Jun,, ,28-Jun,8-Jun,10-Jun,17-Jun,13-Jun,7-Jun, ,7-Jun,21-Jun,,,,,,,,,,,,,,,
Origanum vulgare, ,13-Jul,18-Jul,3-Jul,18-Jul,12-Jul,10-Jul,15-Jul,23-Jul,12-Jul,8-Jul,4-Jul,24-Jul,13-Jul,30-Jul,18-Jul,28-Jul,14-Jul,24-Jul,19-Jul,19-Jul,20-Jul,3-Jul,22-Jul,20-Jul,17-Jul,17-Jul,16-Jul,3-Jul,17-Jul,15-Jul,13-Jul,11-Jul,19-Jul,24-Jul,28-Jun,7-Jul,16-Jul,24-Jun,5-Jul,22-Jun,2-Jul,21-Jul, ,22-Jul,29-Jun,6-Jul,,,,,,,,,,,,,,,
Oxalis acetosella,14-Apr,19-Apr,16-Apr,23-Mar,19-Apr,1-Apr,13-Apr,14-Mar,20-Apr,19-Apr,16-Apr,13-Apr,27-Mar,23-Mar,15-Apr,19-Apr,21-Apr,16-Apr,2-Apr,5-Apr,30-Mar,13-Apr,3-Apr,15-Apr,23-Apr,25-Apr,5-Apr,5-Apr,8-Apr,24-Apr,13-Apr,13-Apr,26-Apr,15-Apr,3-Apr,23-Mar,17-Mar,1-Apr,31-Mar,6-Apr,5-Apr,7-Apr, ,18-Mar,31-Mar,21-Mar,1-May,,,,,,,,,,,,,,,
Papaver dubium,15-Jun,6-Jun,23-May,24-May,15-Jun,28-May,6-Jun,1-Jun, ,8-Jun,7-Jun,1-Jun,12-Jun,25-May,27-May, ,31-May,11-May,18-Jun,6-Jun,18-May,14-Jun,11-Jun,29-May,2-Jun,5-Jun,7-Jun,8-Jun,23-May,6-Jun,19-May,25-May,7-Jun,28-May,21-May,22-May,12-May,24-May,24-May,18-Apr,31-May,12-May,1-Jun,15-May, ,12-Jun,12-Jun,,,,,,,,,,,,,,,
Papaver rhoeas,9-Jun,18-Jun,12-Jun,13-May,25-May,2-Jun,23-May,28-May, ,15-Jun,7-Jun,7-Jun,3-Jun,25-May,3-Jun,17-Jun,7-Jun,27-May,13-Jun,27-May,24-May,28-May,11-Jun,30-May,1-Jun,15-Jun,6-Jun,29-May,30-May,31-May,30-May,25-May,6-Jun,23-May,22-May,22-May,7-May,24-May,2-Jun,28-May,15-May,28-May, ,15-May,19-May,12-Jun,13-May,,,,,,,,,,,,,,,
Papaver somniferum, ,14-Jul,10-Jul, ,19-Jul, , , , , , ,18-Jul,9-Jul,29-Jun,6-Jul, ,24-Jul,6-Jul, ,28-Jul, ,6-Jul, ,6-Jul,17-Jun, ,3-Jul, , ,29-Jun,14-Jun,5-Jul,13-Jul,8-Jul,7-Jul, ,30-May,22-Jun,3-Jun, ,11-Jun,27-Jun, ,15-Jun,21-Jun,7-Jun,20-Jun,,,,,,,,,,,,,,,
Pastinaca sativa,22-Jun,24-Jun, , ,20-Jun,20-Jun,4-Jun,15-Apr, ,16-Jun, , ,8-Jun, , , , , , ,12-Jun,2-Jun,29-Jun,21-Jun, , ,29-Jun, ,22-Jun,30-May, , ,7-Jul,1-Jul, ,22-Jun,29-May,, ,23-Jun,17-Jun,11-Jun, ,7-Jul, ,24-Jun, , ,,,,,,,,,,,,,,,
Pentaglottis sempervirens, ,9-May, ,13-Feb,28-Apr,16-Apr,10-Apr,14-Mar,6-May, , ,26-Apr,9-Apr,22-Mar,5-May,10-Apr, ,1-May,17-Apr,19-Apr,5-Apr,16-Apr,18-Apr,31-Mar, ,24-May,26-May,16-Apr,7-Apr, ,27-Apr,27-Apr,8-May,10-Apr,19-Apr,8-Apr,19-Mar,15-Apr,10-Apr,20-Mar,4-Mar,15-Mar,25-Apr,1-Apr,14-Mar,8-Apr, ,,,,,,,,,,,,,,,
Persicaria lapathifolia,14-Jul, ,18-Jul, , ,23-Jun, ,5-Aug, ,28-Jul, ,27-Jul, ,4-Aug, ,27-Jul,17-Jul,3-Aug,30-Jul,22-Jul,2-Aug, ,14-Jun,21-Jul, ,7-Jul, ,30-Jul,27-Jun,29-Jul,13-Jul,17-Jul,29-Jul,12-Jun,14-Jul, ,28-Jul,12-Jul,9-Jul,30-Jul, , , ,27-Jul, , , ,,,,,,,,,,,,,,,
Persicaria maculosa, ,19-Jun,10-Jul, ,28-Jun, ,1-Jul, , ,4-Jul, ,6-Jul,20-Jun,3-Jul,3-Jul,19-Jul,17-Jun,24-Jun,29-Jun,28-Jun,1-Jul,29-Jun, ,6-Jul, , , ,27-Jun,19-Jun,6-Jul,3-Jul, ,13-Jul,29-Jun,25-Jun,22-Jun,, ,6-Jul,22-Jun, , ,14-Jul, ,17-Jul,18-Jul,27-Jun,,,,,,,,,,,,,,,
Petasites hybridus,22-Mar,29-Mar,4-Apr,4-Mar,8-Apr,16-Apr,6-Apr,14-Apr, ,17-Apr,15-Apr,10-Apr,25-Mar,28-Mar,6-Apr, ,23-Apr,13-Mar,14-Apr, ,4-Apr, ,6-Apr, ,16-Apr,11-Apr,28-Mar,26-Mar,21-Feb, ,15-Apr,17-Apr, ,18-Mar,5-Mar,20-Mar,7-Mar,26-Mar,24-Mar,15-Mar,19-Mar,27-Feb,13-Apr,14-Mar,21-Mar,29-Feb,11-Mar,,,,,,,,,,,,,,,
Phleum bertolonii  ,19-Jun,14-Jun,19-Jun,18-Jun,20-Jun,14-Jun,28-Jun, ,1-Jul,21-Jun,26-Jun, ,14-Jun,30-Jun,21-Jun,21-Jun,13-Jun, , ,12-Jun,25-Jun,3-Jul, , ,9-Jul, ,21-Jun,17-Jun, ,26-Jun,1-Jul,5-Jul, ,3-Jul,26-Jun,29-Jun,, , ,24-Jun,26-Jun,5-Jul, ,16-Jun,22-Jun, , ,,,,,,,,,,,,,,,
Phleum pratense  ,27-Jun,23-Jun,17-Jun,14-Jun, ,19-Jun,28-Jun, ,7-Jul,25-Jun,28-Jun,2-Jul,15-Jun, ,21-Jun,21-Jun,14-Jun,20-Jun,21-Jun,21-Jun,21-Jun,27-Jun,14-Jun, ,11-Jun,19-Jun,14-Jun,23-Jun,6-Jun,6-Jun,22-Jun,22-Jun, ,19-Jun,25-Jun,18-Jun,10-Jun,6-Jul,7-Jun, ,1-May, ,19-Jun, ,12-Jun,19-Jun, ,,,,,,,,,,,,,,,
Phragmites australis  ,25-Jul,14-Jul, , ,23-Jul,15-Jul, , , ,31-Jul,26-Jul,8-Aug,6-Aug,17-Jul,4-Aug,8-Aug,24-Jul,21-Jul,30-Jul, ,8-Aug, , , , ,1-Aug, ,1-Aug,10-Jul, ,3-Aug, ,27-Jul, , ,8-Jul,, ,18-Jul, , , ,3-Aug,27-Jul, ,1-Aug, ,,,,,,,,,,,,,,,
Picris hieracioides,1-Aug,23-Jul, ,28-Jun,18-Jul,17-Jul,10-Jul,14-Jul, ,11-Jul,18-Jul,27-Jul,13-Jul, ,21-Jul,1-Aug,24-Jul,27-Jul,11-Aug,18-Jul,29-Jul,2-Aug,15-Jul,23-Jul,22-Jul,27-Jul, ,17-Jul,24-Jul,30-Jul,21-Jul,5-Jul, ,30-May, ,27-Jul,18-Jul, ,25-Jul, ,21-Jul,18-Jul,28-Jul, , , , ,,,,,,,,,,,,,,,
Pilosella officinarum,18-May,29-May, ,10-May, ,21-May, ,23-May,7-Jun,29-May,20-May,23-May,22-May,20-May, ,24-May,30-May,17-May,28-May,25-May,19-May,24-May,16-May, ,27-May,10-Jun,21-May,20-May,16-May,7-Jun,15-May,5-Jun,2-Jun,29-May,29-May, ,30-Apr,27-May,19-May,28-May,16-May,9-May,20-May,19-May,22-May,18-May,20-May,,,,,,,,,,,,,,,
Plantago lanceolata,28-Apr,24-Apr,2-May, ,21-Apr,16-Apr,24-Apr,14-Apr,30-Apr,4-May,6-May,23-Apr, ,29-Apr,26-Apr,10-Apr,6-May,24-Apr, ,20-Apr,19-Apr,20-Apr,26-Apr,3-Apr,18-Apr,12-May,21-Apr,22-Apr,16-Apr,6-May,28-Apr,10-May,14-May,5-May,24-Apr,22-Apr,30-Mar,11-May, , ,29-Apr, , , ,20-Apr,18-Apr,2-May,,,,,,,,,,,,,,,
Plantago major,21-Jun,19-Jun,14-Jun,1-Jul,17-Jun,10-Jun,2-Jul, ,30-Jun,20-Jun,28-May,4-Jun,13-Jun,25-Jun,29-Jun,21-Jun, , ,2-Jun,27-Jun,28-Jun,24-Jun,11-Jun, ,20-Jun,23-Jun,15-Jun,17-Jun,1-Jun,11-Jun,13-Jun,15-Jun,20-Jun,6-Jul,22-Jun,6-Jun,15-Jun, ,17-Jun,22-May,3-Jul,27-Jun, ,28-May, ,29-Jun, ,,,,,,,,,,,,,,,
Plantago media,11-Jun,29-May,27-May,21-May,20-May,16-May,4-Jun,6-Jun,6-Jun,1-Jun,8-Jun,11-Jun,22-May,5-Jun,27-May,8-Jun,2-Jun, ,28-May,8-Jun,25-May,13-Jun,11-Jun,3-Jun,5-Jun,30-May,24-May, ,29-May,9-Jun,8-Jun,8-Jun,9-Jun,31-May,5-Jun, ,8-May,7-Jun,6-Jun,13-Jun,22-May,5-Jun,13-Jun, ,5-Jun,26-Jun,10-Jun,,,,,,,,,,,,,,,
Poa angustifolia  , , , , , ,5-May, ,10-May, , , ,7-May, ,3-May,19-May,20-May,9-May,25-Apr,17-May,6-May,1-May, ,2-May,2-May, ,19-May,10-May,20-Apr,2-May,8-May,28-Apr, ,17-May,6-May,6-May, ,29-Apr,28-Apr,16-May,25-Apr,1-May,6-May, ,4-May,25-Apr, , ,,,,,,,,,,,,,,,
Poa nemoralis  , ,24-May,31-May,19-May,18-May,11-May,16-May,6-May,27-May,30-May, ,15-May,14-May,19-May,28-May,17-May,21-May,21-May,19-May,24-May,24-May,29-May,20-May,30-May,26-May,23-May,18-May,15-May,15-May,22-May,16-May,15-May,24-May,20-May,15-May,9-May,9-May,24-May,10-May,22-May,24-May,8-May,23-May,13-May,14-May, ,2-Jun,,,,,,,,,,,,,,,
Poa pratensis  , ,19-Apr,1-May,8-Apr,3-May,23-Apr,21-Apr,14-Apr,6-May,3-May,30-Apr,23-Apr,16-Apr,21-Apr,26-Apr,10-May,11-May,18-Apr,22-Apr,20-Apr,15-Apr,4-Apr,24-Apr,27-Apr,8-May,6-May,21-Apr,18-Apr,16-Apr,29-Apr,28-Apr,1-May,7-May,5-May,6-Apr,25-Apr,2-Apr,6-May,20-Apr,5-May,12-Apr,1-May,5-May,21-Apr,21-Apr,23-Apr,26-Apr,,,,,,,,,,,,,,,
Poa trivialis, ,5-Jun, ,20-May, ,23-May,2-Jun,17-May,31-May,26-May,28-May,19-May,19-May,5-Jun,25-May,22-May,6-Jun,28-May,27-May,27-Apr,23-May,19-May, ,25-May,22-May,27-May,18-May,13-May,18-May,17-May,31-May,17-May,25-May,26-May,13-May,18-May,12-May,26-May,19-May,22-May,11-May,7-May,24-May, ,16-May, ,20-May,,,,,,,,,,,,,,,
Polygala calcarea, ,14-May, , ,15-May,29-Apr, ,16-Apr, ,28-Apr,10-May,9-May, , ,5-May, , , , , ,11-May, ,1-May,14-May,10-May, ,14-May, ,19-Apr, ,28-Apr,4-May, ,7-May,1-May,5-May,, , ,8-May,12-May, ,20-May,26-Apr, , ,11-May,,,,,,,,,,,,,,,
Polygala serpyllifolia, ,8-May, ,22-Apr,7-May, ,7-May, , , , ,5-May,19-May,8-May, , ,31-May,9-May, ,4-May,30-Apr,25-May, , , , ,10-May,10-May,5-May,17-May,7-May,10-May,18-May,7-May,6-May,11-May,15-May,16-May,11-May,2-May,13-May,8-May, ,3-May,21-May,9-May,12-May,,,,,,,,,,,,,,,
Polygala vulgaris,13-May, ,8-May, , , , , ,20-May,4-May,13-May, , , , ,12-May,18-May, , , , , ,8-May,19-May, ,19-May, , , , , , ,18-May,9-May,16-May,20-May,6-May,22-May,7-May,23-May,16-May,8-May,20-May,27-Apr,2-May,9-May,12-May,,,,,,,,,,,,,,,
Polygonum aviculare ss, ,18-Jun,19-Jun, , , ,7-Jun, , , , , , , , , ,27-Jun,21-Jun,26-Jun, ,4-Jun,29-Jun, , ,16-Jun,21-Jun, , ,18-Jun,27-Jun, ,24-Jun, ,23-Jun,16-Jun,8-Jun,11-Jun,7-Jul,15-Jun,31-May,9-Jun,3-Jun, ,20-May,15-Jun,18-Jun,17-Jun,,,,,,,,,,,,,,,
Populus nigra,12-Apr,24-Apr,21-Apr,26-Mar,16-Apr, ,22-Apr, , ,27-Apr,15-Apr,10-Apr,18-Apr,22-Mar,20-Apr,29-Apr,19-Apr,24-Apr,6-Apr,23-Apr,16-Apr,16-Apr,8-Apr,14-Apr,19-Apr,19-Apr, ,16-Apr,25-Mar,24-Apr, ,12-Apr,29-Apr,10-Apr, , ,10-Apr,6-Apr,10-Apr,20-Mar,5-Apr,16-Apr,24-Apr,27-Mar,5-Apr,14-Apr,1-Apr,,,,,,,,,,,,,,,
Populus tremula,25-Mar,9-Mar,27-Mar,6-Mar,22-Mar,24-Mar,3-Mar,3-Mar,24-Feb,27-Mar,24-Mar,13-Mar, ,7-Mar, ,24-Mar,25-Mar,25-Feb,16-Mar,25-Feb,28-Feb,29-Feb,24-Feb,23-Feb,16-Mar,28-Mar,11-Mar,16-Mar,8-Mar,13-Mar,7-Mar,14-Mar,16-Mar, ,28-Mar,18-Mar,22-Feb,14-Mar,6-Mar, ,5-Mar,26-Mar,1-Apr,18-Mar,19-Mar, ,12-Mar,,,,,,,,,,,,,,,
Populus x canescens,23-Mar,10-Mar,6-Mar,5-Mar,16-Feb, ,21-Mar, ,24-Feb,1-Apr, , ,20-Mar, , , ,20-Mar,1-Mar,19-Mar,28-Feb,21-Mar, , ,2-Mar,12-Mar,8-Apr,7-Mar, , ,12-Mar,18-Mar,31-Mar,15-Mar,3-Apr,19-Feb,21-Mar,18-Feb,8-Mar,24-Mar,22-Feb,11-Feb,15-Mar,26-Mar,9-Mar,21-Mar, ,19-Mar,,,,,,,,,,,,,,,
Potentilla anserina, ,25-May,20-May,18-May,23-May,16-May,22-May,11-May,23-May,10-May,22-May,16-May,13-May,12-May,19-May,15-May,29-May,15-May,25-May,26-May,9-May,20-May,15-May, ,21-May,28-May,23-May, ,12-May,30-May,18-May,23-May,30-May,4-May,12-May,6-May, , ,15-May, ,16-May,13-May, ,30-Apr,8-May,20-May,21-May,,,,,,,,,,,,,,,
Potentilla erecta,12-May,11-May,12-May,26-Apr,11-May,21-Apr,8-May,20-Apr,19-May,12-May,17-May,27-Apr,20-May,25-May,23-May,26-May,24-May,22-May,4-May,18-May,14-May,24-May,9-May,4-Apr,22-May,18-May,24-May,12-May,21-May,28-May,27-May,23-May,1-Jun,18-May,14-May,15-May,1-May,22-May,15-May,3-May,13-May,8-May,16-May,28-Apr,13-May,3-May,12-May,,,,,,,,,,,,,,,
Potentilla reptans,16-Jun, , , ,21-Jun,16-Jun,6-Jun, ,29-Jun,29-Jun, , ,13-Jun, ,19-Jun,14-Jun,18-Jun, ,21-Jun, ,4-Jun,15-Jun,13-Jun, ,21-Jun,8-Jun,6-Jun,21-Jun,6-Jun,29-Jun, ,16-Jun,7-Jul, ,22-Jun,8-Jun,, ,6-Jun, ,16-Jun, , ,31-May, , ,4-Jun,,,,,,,,,,,,,,,
Potentilla sterilis, ,11-Feb, ,11-Feb,18-Jan,1-Mar,12-Mar,18-Feb,20-Jan,9-Mar,21-Jan,11-Mar,26-Feb,24-Feb, ,26-Jan,20-Mar,19-Mar,19-Mar,8-Mar,25-Mar,1-Feb,7-Mar,24-Mar,10-Mar,16-Apr,12-Mar,20-Mar,18-Feb,16-Mar,18-Mar,20-Mar,1-Apr,31-Mar,23-Feb,29-Jan, ,13-Mar,8-Mar, , , ,4-Mar,10-Mar,20-Feb,9-Jan,26-Jan,,,,,,,,,,,,,,,
Primula veris,4-Apr,10-Apr,6-Apr,23-Mar,12-Apr,6-Apr,16-Apr,11-Mar,18-Apr,19-Apr,17-Apr,9-Apr,27-Mar,30-Mar,8-Apr,19-Apr,18-Apr,8-Apr,3-Apr,6-Apr,30-Mar,14-Mar,4-Apr,27-Mar,6-Apr,20-Apr,16-Apr,28-Mar,10-Apr,24-Apr,15-Apr,15-Apr,24-Apr,14-Apr,3-Apr,25-Mar,5-Apr,7-Apr,5-Apr,19-Mar,30-Mar, ,14-Apr,22-Mar,21-Mar,6-Apr,11-Apr,,,,,,,,,,,,,,,
Primula vulgaris,3-Jan,11-Feb,11-Mar,26-Jan,2-Feb,26-Feb,1-Mar,18-Feb,10-Feb,9-Mar,26-Feb,13-Mar,26-Feb,1-Jan,14-Jan, ,11-Feb, ,23-Jan,27-Feb,20-Jan,24-Jan,10-Jan,2-Mar,25-Feb,24-Mar, , ,18-Feb,16-Jan,8-Mar,20-Mar,15-Mar,14-Mar,3-Jan,17-Jan, ,2-Feb,28-Feb,1-Feb,22-Jan,7-Jan,6-Jan,20-Feb,25-Jan,14-Jan,26-Jan,,,,,,,,,,,,,,,
Prunella vulgaris,9-Jun,12-Jun,12-Jun,2-Jun,13-Jun,31-May,4-Jun,20-Apr, ,15-Jun,7-Jun,12-Jun,5-Jun,14-Jun,11-Jun,12-Jun,7-Jun,14-Jun,15-Jun, ,10-Jun,18-Jun,17-Jun, ,10-Jun,16-Jun,7-Jun,13-Jun,6-Jun, ,10-Jun,15-Jun,17-Jun,5-Jun,4-Jun,24-May,24-May,12-Jun,3-Jun,4-Jun,6-Jun,3-Jun,8-Jun,3-Jun,27-May,24-May,9-Jun,,,,,,,,,,,,,,,
Prunus avium,4-Apr,24-Apr,21-Apr,23-Mar,20-Apr,4-Apr,16-Apr,22-Mar,25-Apr,26-Apr,18-Apr,20-Apr,12-Apr,30-Mar,10-Apr,23-Apr,24-Apr,21-Apr,7-Apr,9-Apr,5-Apr,6-Apr,6-Apr,7-Apr,17-Apr,22-Apr,12-Apr,31-Mar,2-Apr,24-Apr,21-Apr,13-Apr,1-May,15-Apr,3-Apr,26-Mar,15-Mar,11-Apr,7-Apr,29-Mar,29-Mar,31-Mar,24-Apr,23-Mar,30-Mar,1-Apr,16-Mar,,,,,,,,,,,,,,,
Prunus cerasifera, ,8-Apr,19-Mar,17-Feb,4-Mar,19-Mar,5-Mar,27-Feb,9-Apr,21-Apr,11-Apr,20-Mar,4-Mar,23-Feb, ,7-Apr,16-Apr,13-Mar,22-Mar,8-Mar,28-Feb,11-Jan,27-Feb,9-Mar,26-Mar,12-Apr,22-Mar, ,22-Mar,19-Feb,5-Mar,7-Apr,28-Mar,25-Mar,25-Feb,23-Feb,18-Feb,20-Mar,7-Mar,8-Feb,16-Feb,14-Feb, ,13-Mar,16-Feb,9-Feb,17-Feb,,,,,,,,,,,,,,,
Prunus spinosa,4-Apr,18-Apr,12-Apr,9-Mar,16-Mar,3-Apr,6-Apr,10-Mar,22-Apr,25-Apr,18-Apr,10-Apr,22-Mar,22-Mar,18-Apr,9-Apr,19-Apr,12-Apr,2-Apr,16-Mar,8-Mar,1-Mar,14-Mar,21-Mar,6-Apr,21-Apr,5-Apr,2-Apr,22-Mar,20-Mar,1-Apr,10-Apr,29-Apr,13-Apr,26-Mar,16-Mar,5-Mar,19-Mar,21-Mar, ,17-Mar,6-Mar,18-Apr,19-Mar, ,17-Mar,14-Mar,,,,,,,,,,,,,,,
Pseudofumaria lutea,23-Apr, ,18-Apr,14-Feb, ,5-Apr,15-Apr,9-Mar, , , ,11-Apr, ,14-Apr,24-Apr,29-Apr, ,24-Apr,10-Apr,15-Apr,12-Apr,20-Jan,22-Apr,29-Apr,28-Apr,20-Apr,12-Apr,27-Apr,2-Apr,8-Apr, ,15-Apr, , ,7-Apr, ,9-Mar,12-Apr, ,30-Mar,16-Apr, ,5-May, ,5-Mar,5-Apr,11-Apr,,,,,,,,,,,,,,,
Pteridium aquilinum,1-May, ,25-Apr,7-Apr, , , ,17-Mar, ,30-Apr,25-Apr, , , , , ,15-May,5-May,27-Apr,20-Apr,22-Apr, ,8-May,26-Mar, ,6-May,19-Apr,18-Apr,11-Apr,5-May, ,6-May,13-May,8-May,13-Apr, , ,21-Apr,28-Apr,16-Apr,26-Apr,25-Apr,24-Apr, ,20-Apr,28-Apr,1-May,,,,,,,,,,,,,,,
Pulicaria dysenterica, ,27-Jul, ,6-Aug,30-Jul,29-Jul,23-Jul,27-Jul,7-Aug,30-Jul,16-Aug,17-Aug,5-Aug,20-Jul,22-Aug,26-Jul,23-Jul,19-Aug,7-Jul,19-Jul,1-Aug,17-Jul,16-Jul,12-Aug,12-Aug,3-Aug, ,18-Jul,22-Jul,21-Jul,18-Jul, ,26-Jul, , ,7-Jul,24-Jul,31-Jul, ,6-Aug,21-Jul,1-Aug,27-Jul,27-Jul,8-Aug,6-Jul, ,,,,,,,,,,,,,,,
Pyrus communis, , , ,26-Mar,21-Apr, ,15-Apr, ,26-Apr, ,21-Apr,20-Apr,21-Apr,29-Apr,18-Apr,29-Apr,25-Apr,21-Apr,4-Jul,10-Apr,6-Apr,5-Apr, , ,27-Apr, ,14-Apr,3-Apr,17-Apr, ,25-Apr,14-Apr, ,18-Apr,24-Apr,3-Apr,17-Apr,17-Apr,20-Apr,15-Apr,22-Mar,16-Apr, ,20-Apr,20-Apr,8-Apr,11-Apr,,,,,,,,,,,,,,,
Ranunculus acris,4-May,9-May,21-Apr,26-Mar,4-May,28-Apr,23-Apr,1-Apr,6-May,10-May,16-May,23-Apr,6-May,29-Apr,27-Apr,28-Apr,11-May,7-May,4-May,30-Mar,16-Apr, ,22-Apr,4-May,16-Apr,14-May,10-May,16-Apr,23-Apr,3-May,8-May,15-May,14-May,7-May,19-Apr,19-Apr,28-Apr,23-Apr,3-May,8-Apr,13-Apr,4-May,16-May, ,3-Apr,23-Apr, ,,,,,,,,,,,,,,,
Ranunculus auricomus,17-Apr,18-Apr,15-Apr,1-Apr,27-Apr,11-Apr,22-Apr,3-Apr,2-May,5-May,1-May,2-May, ,10-Apr,23-Apr,30-Apr,7-May,25-Apr,16-Apr,19-Apr,14-Apr,20-Apr,16-Apr,16-Apr,16-Apr,11-May,16-Apr,16-Apr,11-Apr,25-Apr,23-Apr,23-Apr,8-May,5-May,13-Apr,13-Apr,5-Apr,14-Apr,11-Apr,5-Apr,2-Apr,17-Apr,22-Apr,29-Mar,6-Apr,15-Apr,10-Apr,,,,,,,,,,,,,,,
Ranunculus bulbosus,22-Mar,24-Apr,2-May,11-Mar,28-Apr,3-Apr,22-Apr,1-Apr,30-Apr,4-May,27-Apr,24-Apr, ,14-Apr,27-Apr,11-Apr,3-May,22-Apr,22-Apr,20-Apr,13-Apr,14-Mar,7-Apr,5-May,1-May,3-May,21-Apr,16-Apr,9-Apr,25-Apr,28-Apr,16-Apr,13-May,4-May,29-Mar,2-Mar,23-Apr,28-Apr, ,23-Feb,5-Apr,28-Mar,30-Apr, ,7-Apr,6-Apr,9-Apr,,,,,,,,,,,,,,,
Ranunculus ficaria,1-Mar,5-Mar,11-Mar,9-Feb,28-Feb,7-Mar,5-Mar,19-Feb,12-Feb,22-Mar,6-Mar,12-Mar,27-Feb,3-Mar, ,29-Jan,20-Mar,13-Feb,16-Mar,8-Mar,28-Feb,11-Jan,6-Mar,13-Feb,25-Feb,24-Mar,23-Feb,29-Feb,21-Feb,30-Jan,11-Mar,1-Mar,22-Mar,26-Feb,12-Feb, , ,3-Feb,27-Feb,29-Jan,25-Jan,13-Jan,23-Feb,4-Mar,27-Jan, , ,,,,,,,,,,,,,,,
Ranunculus repens,10-May,29-Mar,16-May,28-Apr, , ,17-May,17-Apr,26-May,29-May,20-May,25-Apr,14-May,12-May,3-May,10-May,15-May,7-May,29-Apr,5-May,24-May,16-May, ,13-May,28-May,6-May,16-May,5-May,15-May,8-May,19-May,27-May,16-May,4-May,30-Apr,28-Apr,4-May, ,24-Apr,30-Apr,28-Apr, ,27-May,1-May, , , ,,,,,,,,,,,,,,,
Reseda lutea, ,27-May,23-May,27-Apr,17-May,14-May,9-May,28-Apr,1-Jun, , ,23-May,28-May,12-May,24-May,6-Jun,31-May,21-May, ,27-May,18-May, , ,31-May,4-Jun,9-Jun,17-May,21-May,18-May,24-May,7-Jun,4-Jun,21-May,30-May,11-May,8-May,25-Apr,24-May,18-May,1-Jun,16-May,6-May, , ,5-Jun, , ,,,,,,,,,,,,,,,
Reseda luteola,12-Jun, , ,29-May,19-Jun, ,6-Jun, , ,23-Jun, , , , ,14-Jun,19-Jun,7-Jun, , , ,4-Jun,15-Jun,17-Jun,9-Jun,5-Jun,24-Jun,15-Jun,22-Jun,22-Jun, ,12-Jun,13-Jun,16-Jun, ,22-Jun,29-May,, ,5-Jun,26-May,17-Jun, ,12-Jun, , , ,14-Jun,,,,,,,,,,,,,,,
Rhamnus catharticus,10-Jun,29-May,27-May,27-May,30-May,19-May,24-May,21-May, ,25-May,8-Jun,4-Jun,2-Jun,6-Jun,12-Jun,30-May,29-May,17-May,30-May,31-May,30-May,8-Jun,12-Jun,4-Jun,29-May,4-Jun,29-May,9-Jun,4-Jun,5-Jun,6-Jun,29-May,7-Jun,26-May,5-Jun,28-May,6-May,31-May, ,23-May,5-Jun,13-May,1-Jun,22-May, ,20-May,22-May,,,,,,,,,,,,,,,
Rhinanthus minor,21-Jun,5-Jun,19-Jun,28-May,19-Jun,3-Jun,22-May,1-Jun, , ,28-May, ,21-May,16-Jun,26-May,13-Jun,12-Jun, ,28-May,11-Jun,14-Jun,14-Jun, ,11-Jun, ,2-Jul,21-Jun,19-Jun,10-Jun,6-Jun,23-Jun,2-Jun,25-Jun,15-Jun,11-Jun,26-May,31-May,30-May, ,25-May,31-May,20-May, , ,5-Jun, ,31-May,,,,,,,,,,,,,,,
Ribes nigrum,29-Apr, , ,1-May,3-May,13-Apr,2-May,11-Apr, ,12-May,27-Apr, ,9-May,24-Apr, , , , ,13-Apr,28-Apr, ,14-May,2-May, , ,15-Apr, , ,23-Apr, , ,25-Apr,8-May,9-May,15-May,14-Apr,2-Apr,14-Apr, ,24-Apr,17-Apr, ,4-May,13-Apr,25-Apr,15-Apr,10-May,,,,,,,,,,,,,,,
Ribes rubrum,18-Apr,22-Apr,24-Apr,25-Mar,29-Apr,17-Apr,17-Apr, , ,28-Apr, , , , ,7-May,4-May,5-May,5-May,17-Apr,4-May,5-May, ,15-Apr, , ,28-Apr,18-Apr,22-Apr,10-Apr,29-Apr,26-Apr,30-Apr,4-May, ,17-Apr,21-Apr,7-Apr,13-Apr,18-Apr,12-Apr,29-Mar,7-Apr,22-Apr,28-Mar,28-Mar,8-Apr,1-May,,,,,,,,,,,,,,,
