BACE spring 2012 tree phenology,,,,,,,,,,,
Plot,TP,loc,Tr_id,species,1st bud break,">= 3 buds
 broken",1st leaf unfolded,">= 3 leaves
unfolded","full leaf
expansion",dead?,comments
23,N,4,6288,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
23,N,5,6689,U. americana,88,95,102,102,107,,
23,N,6,6477,P. serotina,.,100,104,107,109,,
23,N,7,6688,U. americana,107,107,109,115,115,,
23,N,8,6476,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
23,S,1,6690,U. americana,107,107,109,109,115,,
23,S,2,6091,B. popul,xxx,xxx,xxx,xxx,xxx,y,eaten below ground
23,S,3,6090,B. popul,86,86,102,102,107,,
23,S,4,6291,P. grand,xxx,xxx,xxx,xxx,xxx,y,
23,S,5,6479,P. serotina,86,93,95,100,107,,
23,S,6,6691,U. americana,107,109,111,111,117,,
23,S,7,6478,P. serotina,83,107,109,109,111,,
23,S,8,6290,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
24,N,1,6093,B. popul,83,88,103,103,107,,
24,N,2,6692,U. americana,100,107,109,109,115,,
24,N,3,6092,B. popul,83,86,93,95,111,,
24,N,4,6293,P. grand,117,.,121,121,135,,resprout at base
24,N,5,6292,P. grand,117,.,121,121,127,,resprout at base
24,N,6,6693,U. americana,107,107,109,109,115,,
24,N,7,6492,P. serotina,93,.,102,107,111,,
24,N,8,6493,P. serotina,<93,93,100,100,107,,
24,S,1,6495,P. serotina,.,.,.,.,107,,
24,S,2,6494,P. serotina,86,93,100,102,107,,
24,S,3,6295,P. grand,.,.,.,127,135,,resprout at base
24,S,4,6095,B. popul,88,93,104,107,107,,
24,S,5,6294,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
24,S,6,6695,U. americana,111,.,111,.,139,,1 tiny leaf
24,S,7,6094,B. popul,xxx,xxx,xxx,xxx,xxx,y,dried
24,S,8,6694,U. americana,111,111,111,111,121,,
25,N,1,6696,U. americana,117,.,117,124,130,,tiny resprout from base
25,N,2,6097,B. popul,xxx,xxx,xxx,xxx,xxx,y,gone
25,N,3,6697,U. americana,93,.,100,107,121,,
25,N,4,6297,P. grand,xxx,xxx,xxx,xxx,xxx,y,
25,N,5,6096,B. popul,.,.,117,.,.,,"tiny resprout from base.  Day 121- resprout gone, just bud now"
25,N,6,6296,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
25,N,7,6497,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
25,N,8,6496,P. serotina,xxx,xxx,xxx,xxx,xxx,y,eaten
25,S,1,6099,B. popul,117,.,121,121,124,,"very chewed bark, sprout from base"
25,S,2,6498,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
25,S,3,6298,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
25,S,4,6098,B. popul,xxx,xxx,xxx,xxx,xxx,y,
25,S,5,6699,U. americana,117,.,121,.,.,,tiny resprout from base. Day124- someone chewed top of bud off
25,S,6,6499,P. serotina,xxx,xxx,xxx,xxx,xxx,y,gone
25,S,7,6698,U. americana,111,115,115,121,127,,
25,S,8,6299,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
26,N,1,6100,B. popul,100,107,109,109,115,,
26,N,2,6300,P. grand,xxx,xxx,xxx,xxx,xxx,y,
26,N,3,6101,B. popul,93,100,.,107,117,,
26,N,4,6501,P. serotina,xxx,xxx,xxx,xxx,xxx,y,gone
26,N,5,6301,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
26,N,6,6500,P. serotina,.,93,102,104,107,,
26,N,7,6701,U. americana,115,117,117,121,124,,
26,N,8,6700,U. americana,132,.,135,137,137,,bud ~1 cm from base
26,S,1,6303,P. grand,100,104,.,107,115,,
