BACE 2013 herbaceous phenology,,,,,,,,,,
Plot,Species,% cover ,"# of 
plants",floral buds,"buds and 
flowers",open flowers,"flowers and 
dry flowers",dry flowers,Comment,general comments
14,Rumex crispus ,,5,134,,,150,179,,
14,Setaria glauca,,,,,,,<300,,
14,Silene alba ,3,,127,134,143,150,<300,,
14,Solidago canadensis,,,,,,,<300,,
14,Tanacetum vulgare ,,,179,,,,<300,,
14,Taraxacum officinale ,,,,,,,,,
14,Trifolium pratense ,,,,,,,,,
14,Trifolium repens ,,,,,,,,,
14,Veronica arvensis ,2,,,119,,,128,,
14,Setaria viridens,,,,,,,,,
14,Cyanchum nigrum,,,,,,,,,
14,,,,,,,,,,
15,Achillea millefolium,3,,127,,179,,<300,,
15,Asclepias syriaca ,,,,,,,,,
15,Berteroa incana,,,,,,,,,
15,Capsella bursa-pastoris ,,,,,,,,,
15,Cerastium fontanum ,,,,,,,,,
15,Conyza canadensis,,,,,,,,,
15,Dactylis glomerata ,,,143,,,,179,,
15,Draba verna ,,,,,,,,,
15,Elymus repens ,,,,,,,,,
15,Erigeron annuus ,,,,,,,,,
15,Festuca spp. ,,,,,,,,,
15,Lepidium virginicum,,,,,,,,,
15,Oenothera biennis,,,,,,,,,
15,Oxalis stricta ,,,,,,,,,
15,Phleum pratense ,,,,,,,,,
15,Plantago lanceolata ,,,,,,,179,,
15,Poa trivialis,,,134,,150,,179,,
15,Potentilla argentea ,3,,127,150,,179,<300,,
15,Rumex crispus ,,,150,,,,<300,,
15,Setaria glauca,,,,,,,<300,,
15,Silene alba ,,,143,150,,,179,,
15,Tanacetum vulgare ,,,,,,,,,
15,Taraxacum officinale ,,,,,,,143,,
15,Trifolium pratense ,,,,,,,,,
15,Trifolium repens ,,,,,,,,,
15,Veronica arvensis ,,,,,,,,,
15,Setaria viridens,,,,,,,,,
15,Festuca rubra,,,,,,,179,,
15,,,,,,,,,,
15,,,,,,,,,,
16,Achillea millefolium,5,,127,143,,179,<300,,
16,Asclepias syriaca ,,,150,,,179,<300,,
16,Berteroa incana,,,,,,,,,
16,Capsella bursa-pastoris ,,,,,,,,,
16,Cerastium fontanum ,,,,134,,143,<300,,
16,Conyza canadensis,,,,,,,,,
16,Dactylis glomerata ,,,134,,,,179,,
16,Digitaria ischaemum,,,,,,,,,
16,Draba verna ,,,,,,,,,
16,Elymus repens ,,,,,179,,<300,,
16,Erigeron annuus ,,,,179,,,<300,,
16,Festuca spp. ,,,,,,,,,
16,Heiracium canadensis,,,,,,,,,
16,Oenothera biennis,,,,,,,,,
16,Oxalis stricta ,,,,,,,,,
16,Phleum pratense ,,,,,,,,,
16,Plantago lanceolata ,,,,,,150,179,,
16,Poa trivialis,,,134,150,,,179,,
16,Potentilla argentea ,,,134,,179,,<300,,
16,Rumex crispus ,,,143,,,,179,,
