JULIAN DAY,TIME,Plot,air,7.5,aa
1,700,12,3.9739,5.8744,
1,700,13,0.66319,6.6552,
1,700,14,0.70015,2.8758,
1,700,15,2.1014,2.0941,
1,700,16,-3.0877,3.1994,
1,700,17,,,
1,700,18,-10.018,4.2072,
1,700,19,-1.1344,3.3385,
1,700,20,-2.6204,3.5649,
1,715,1,1.6609,3.2031,
1,715,2,-4.7677,3.556,
1,715,3,-2.3691,4.044,
1,715,4,,5.0431,
1,715,5,,3.8626,
1,715,6,-1.9835,3.552,
1,715,7,1.4318,4.2261,
1,715,8,0.53513,-8.4331,
1,715,9,-5.5276,3.6812,
1,715,10,1.7851,3.7918,
1,715,11,0.0308,2.1409,
1,715,12,3.9475,5.8497,
1,715,13,0.65006,6.6411,
1,715,14,0.68459,2.8499,
1,715,15,2.0835,2.0806,
1,715,16,-3.1333,3.1725,
1,715,17,,,
1,715,18,-9.8383,4.1812,
1,715,19,-1.2275,3.3091,
1,715,20,-2.467,3.5366,
1,730,1,1.6402,3.1717,
1,730,2,-4.6777,3.5217,
1,730,3,-2.3287,4.0117,
1,730,4,,5.0129,
1,730,5,,3.8325,
1,730,6,-1.9592,3.523,
1,730,7,1.4047,4.1983,
1,730,8,0.5247,-8.4293,
1,730,9,-5.4272,3.6441,
1,730,10,1.773,3.7616,
1,730,11,0.0129,2.1199,
1,730,12,3.921,5.8252,
1,730,13,0.6334,6.6237,
1,730,14,0.66691,2.821,
1,730,15,2.0684,2.068,
1,730,16,-3.0147,3.1442,
1,730,17,,,
1,730,18,-9.7735,4.1529,
1,730,19,-1.2793,3.2791,
1,730,20,-2.5069,3.5058,
1,745,1,1.6251,3.1434,
1,745,2,-4.6364,3.4933,
1,745,3,-2.3198,3.9828,
1,745,4,,4.9853,
1,745,5,,3.803,
1,745,6,-1.9405,3.4963,
1,745,7,1.3821,4.1745,
1,745,8,0.52095,-8.2033,
1,745,9,-5.3687,3.6134,
1,745,10,1.756,3.7352,
1,745,11,-0.00174,2.1013,
1,745,12,3.894,5.8015,
1,745,13,0.61844,6.6074,
1,745,14,0.65171,2.7941,
1,745,15,2.0506,2.0526,
1,745,16,-3.0209,3.118,
1,745,17,,,
1,745,18,-9.4447,4.1296,
1,745,19,-1.1988,3.2521,
1,745,20,-2.3829,3.4814,
1,800,1,1.6209,3.1171,
1,800,2,-4.2549,3.4606,
1,800,3,-2.1721,3.9528,
1,800,4,,4.9578,
1,800,5,,3.7733,
1,800,6,-1.826,3.4693,
1,800,7,1.3647,4.1488,
1,800,8,0.54184,-7.7748,
1,800,9,-5.0175,3.5779,
1,800,10,1.7683,3.7078,
1,800,11,-0.00578,2.0861,
1,800,12,3.8688,5.7766,
1,800,13,0.60826,6.5915,
1,800,14,0.64298,2.7684,
1,800,15,2.0425,2.0644,
1,800,16,-2.8823,3.096,
1,800,17,,,
1,800,18,-8.9367,4.1052,
1,800,19,-1.0614,3.2248,
1,800,20,-2.2363,3.4546,
1,815,1,1.6323,3.0972,
1,815,2,-3.8796,3.4318,
1,815,3,-1.9229,3.9265,
1,815,4,,4.9316,
1,815,5,,3.7452,
1,815,6,-1.6748,3.4449,
1,815,7,1.3576,4.1276,
1,815,8,0.58861,-7.1371,
1,815,9,-4.5614,3.5429,
1,815,10,1.7936,3.6847,
1,815,11,-0.00601,2.0801,
1,815,12,3.848,5.7545,
1,815,13,0.60047,6.574,
1,815,14,0.63897,2.7441,
1,815,15,2.0486,2.0853,
1,815,16,-2.5823,3.0777,
1,815,17,,,
1,815,18,-8.2607,4.0791,
1,815,19,-0.92412,3.1984,
1,815,20,-2.1357,3.4314,
1,830,1,1.6434,3.0739,
1,830,2,-3.5025,3.4015,
1,830,3,-1.6559,3.8945,
1,830,4,,4.9086,
1,830,5,,3.7107,
1,830,6,-1.4983,3.423,
1,830,7,1.3398,4.0982,
1,830,8,0.65109,-6.4301,
1,830,9,-4.0644,3.4846,
1,830,10,1.8286,3.6634,
1,830,11,-0.01505,2.0737,
1,830,12,3.8294,5.7312,
1,830,13,0.59171,6.554,
1,830,14,0.63473,2.7136,
1,830,15,2.0704,2.1329,
1,830,16,-2.2928,3.0661,
1,830,17,,,
1,830,18,-7.3253,4.058,
1,830,19,-0.76239,3.173,
1,830,20,-1.908,3.4098,
1,845,1,1.6672,3.0563,
1,845,2,-2.9949,3.3762,
1,845,3,-1.3452,3.8686,
1,845,4,,4.8913,
1,845,5,,3.6739,
1,845,6,-1.187,3.4062,
1,845,7,1.3287,4.0721,
1,845,8,0.77177,-5.0001,
1,845,9,-2.8559,3.4264,
1,845,10,1.906,3.6451,
1,845,11,-0.0316,2.0708,
1,845,12,3.812,5.7077,
1,845,13,0.58821,6.5354,
1,845,14,0.63875,2.6889,
1,845,15,2.1031,2.2113,
1,845,16,-1.9271,3.0624,
1,845,17,,,
1,845,18,-5.7881,4.0371,
1,845,19,-0.26224,3.1476,
1,845,20,-1.4799,3.3906,
1,900,1,1.7119,3.0509,
1,900,2,-2.1775,3.3626,
1,900,3,-0.94269,3.8489,
1,900,4,,4.8768,
1,900,5,,3.6526,
1,900,6,-0.93815,3.3949,
1,900,7,1.3426,4.0617,
1,900,8,0.95634,-3.1822,
1,900,9,-1.2936,3.4034,
1,900,10,2.0266,3.639,
1,900,11,0.00706,2.0954,
1,900,12,3.8039,5.691,
1,900,13,0.59797,6.5164,
1,900,14,0.6611,2.6712,
1,900,15,2.1656,2.3484,
1,900,16,-1.3273,3.0738,
1,900,17,,,
1,900,18,-3.153,4.0209,
1,900,19,0.06938,3.1288,
1,900,20,-1.0656,3.3794,
1,915,1,1.7973,3.0614,
1,915,2,-1.1203,3.3457,
1,915,3,-0.53323,3.8253,
1,915,4,,4.8618,
1,915,5,,3.6228,
1,915,6,-0.55854,3.3885,
1,915,7,1.3622,4.0415,
1,915,8,1.2187,-0.39607,
1,915,9,-0.15895,3.3627,
1,915,10,2.1664,3.6375,
1,915,11,0.03424,2.1234,
1,915,12,3.7972,5.675,
1,915,13,0.60986,6.4907,
1,915,14,0.68521,2.6496,
1,915,15,2.2637,2.4932,
1,915,16,-0.59516,3.1075,
1,915,17,,,
1,915,18,-1.1841,4.0073,
1,915,19,0.56186,3.1124,
1,915,20,-0.66881,3.3757,
1,930,1,1.8823,3.0659,
1,930,2,-0.26308,3.3229,
1,930,3,-0.24292,3.802,
1,930,4,,4.8644,
1,930,5,,3.5766,
1,930,6,-0.12999,3.3877,
1,930,7,1.3564,4.0084,
1,930,8,1.7552,2.6578,
1,930,9,0.70262,3.3037,
1,930,10,2.2887,3.6447,
1,930,11,0.01621,2.1449,
1,930,12,3.8041,5.6674,
1,930,13,0.60806,6.463,
1,930,14,0.70659,2.6282,
1,930,15,2.3875,2.6787,
1,930,16,-0.09824,3.1644,
1,930,17,,,
1,930,18,-0.19594,3.9916,
1,930,19,1.5922,3.1003,
1,930,20,-0.32697,3.3799,
1,945,1,1.9935,3.1089,
1,945,2,0.67356,3.3403,
1,945,3,0.05953,3.8029,
1,945,4,,4.8749,
1,945,5,,3.56,
1,945,6,0.02328,3.4065,
1,945,7,1.4316,4.0134,
1,945,8,2.398,4.2715,
1,945,9,3.2136,3.3361,
1,945,10,2.4278,3.6761,
1,945,11,0.17254,2.2181,
1,945,12,3.8213,5.6717,
1,945,13,0.66478,6.4582,
1,945,14,0.7695,2.6626,
1,945,15,2.533,2.992,
1,945,16,-0.0045,3.25,
1,945,17,,,
1,945,18,0.45698,3.9961,
1,945,19,2.3653,3.107,
1,945,20,0.03365,3.3998,
1,1000,1,2.2221,3.2203,
1,1000,2,4.0319,3.3887,
1,1000,3,3.361,3.8368,
1,1000,4,,4.883,
1,1000,5,,3.5894,
1,1000,6,1.5683,3.4355,
1,1000,7,1.7241,4.0725,
1,1000,8,3.1388,7.6518,
1,1000,9,7.3542,3.435,
1,1000,10,2.609,3.725,
1,1000,11,0.4236,2.3728,
1,1000,12,3.8509,5.6802,
1,1000,13,0.76853,6.4758,
1,1000,14,0.8664,2.7586,
1,1000,15,2.7697,3.2863,
1,1000,16,0.15815,3.3456,
1,1000,17,,,
1,1000,18,1.883,4.0137,
1,1000,19,3.1897,3.141,
1,1000,20,1.0153,3.4283,
1,1015,1,2.5695,3.3552,
1,1015,2,5.2457,3.4604,
1,1015,3,6.443,3.8843,
1,1015,4,,4.891,
1,1015,5,,3.631,
1,1015,6,4.5732,3.4729,
1,1015,7,2.2784,4.1412,
1,1015,8,4.2962,12.161,
1,1015,9,10.534,3.5696,
1,1015,10,2.9761,3.7909,
1,1015,11,1.0625,2.6217,
1,1015,12,3.8902,5.6811,
1,1015,13,0.92996,6.485,
1,1015,14,1.0565,2.8805,
1,1015,15,3.1011,3.5769,
1,1015,16,1.2542,3.4676,
1,1015,17,,,
1,1015,18,2.729,4.0267,
1,1015,19,4.0157,3.1994,
1,1015,20,3.1517,3.4637,
1,1030,1,3.0373,3.5077,
1,1030,2,8.0928,3.5515,
1,1030,3,5.183,3.947,
1,1030,4,,4.9127,
1,1030,5,,3.7068,
1,1030,6,6.4234,3.5333,
1,1030,7,2.6914,4.2442,
1,1030,8,5.2908,16.427,
1,1030,9,12.39,3.7608,
1,1030,10,3.4906,3.8982,
1,1030,11,1.8613,2.9561,
1,1030,12,3.9573,5.6828,
1,1030,13,1.1251,6.4948,
1,1030,14,1.292,3.027,
1,1030,15,3.4403,3.8019,
1,1030,16,2.6258,3.6104,
1,1030,17,,,
1,1030,18,3.9967,4.0574,
1,1030,19,4.4246,3.2895,
